ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
Grand Theft Auto: Vice City,Adventure,2011-01-10,9.99,84,1705652
BioShock Infinite,Adventure,2013-03-25,29.99,93,4370382
Quake,Adventure,2007-08-03,4.99,96,320862
Grand Theft Auto: San Andreas,Adventure,2011-01-06,14.99,66,2635800
Unreal Tournament 2004,Adventure,2004-03-17,14.99,99,356455
Company of Heroes,Adventure,2007-07-17,19.99,93,2790796
Grand Theft Auto III,Adventure,2011-01-06,9.99,72,1478419
Team Fortress 2,Adventure,2007-10-10,Free,90,35072643
Tom Clancy's Splinter Cell: Chaos Theory,Adventure,2009-08-27,9.99,88,309816
System Shock 2,Adventure,2013-05-10,9.99,90,716416
Thief Gold,Adventure,2012-05-22,6.99,81,754463
Call of Duty 4: Modern Warfare,Adventure,2007-11-12,19.99,81,984677
Unreal Tournament: Game of the Year Edition,Adventure,2008-03-17,9.99,99,325771
Freespace 2,Adventure,2014-06-06,9.99,28,28404
Tumblestone,Adventure,2016-07-12,9.99,N/A,2630
Dishonored,Adventure,2012-10-08,9.99,98,2570751
Deus Ex: Human Revolution - Director's Cut,Adventure,2013-10-25,19.99,81,1381634
Batman: Arkham Asylum GOTY Edition,Adventure,2010-03-26,19.99,96,2637028
Battlefield 2,Adventure,2009-10-06,Free,75,351195
Crysis,Adventure,2008-09-17,19.99,59,942772
Street Fighter IV,Adventure,2009-07-07,19.99,43,108006
DARK SOULS II,Adventure,2014-04-25,39.99,72,1026407
Batman: Arkham City GOTY,Adventure,2012-09-07,19.99,96,3088864
Call of Duty,Adventure,2006-10-13,19.99,84,201634
METAL GEAR SOLID V: THE PHANTOM PAIN,Adventure,2015-09-01,39.99,69,1074975
Star Wars Jedi Knight: Dark Forces II,Adventure,2009-09-16,5.99,26,1059896
Mark of the Ninja,Adventure,2012-10-16,14.99,98,1505596
The Longest Journey,Adventure,2007-05-01,9.99,90,205316
Tom Clancy's Splinter Cell,Adventure,2008-04-01,9.99,69,227409
Batman: Arkham Asylum,Adventure,2010-03-26,19.99,96,99239
Portal,Adventure,2007-10-10,9.99,99,9272554
Grand Theft Auto IV,Adventure,2008-12-02,19.99,25,3990082
Brothers - A Tale of Two Sons,Adventure,2013-09-03,14.99,93,1175616
Deus Ex: Game of the Year Edition,Adventure,2007-03-29,6.99,93,1128627
Half-Life 2: Episode Two,Adventure,2007-10-10,7.99,93,5461137
Dota 2,Adventure,2013-07-09,Free,78,80413038
Star Wars - Jedi Knight II: Jedi Outcast,Adventure,2009-09-16,9.99,81,1163168
Left 4 Dead 2,Adventure,2009-11-16,19.99,96,14472092
Rayman Legends,Adventure,2013-09-03,29.99,90,201108
Borderlands 2,Adventure,2012-09-17,19.99,96,6511039
Far Cry,Adventure,2008-04-01,9.99,59,821792
Left 4 Dead,Adventure,2008-11-17,19.99,90,4191717
Duke Nukem 3D: Megaton Edition,Adventure,2013-03-20,9.99,98,574921
Duke Nukem 3D,Adventure,2014-05-05,3.74,N/A,63997
Descent 3,Adventure,2014-04-15,9.99,N/A,8416
Max Payne,Adventure,2008-01-04,9.99,78,491287
Mass Effect,Adventure,2008-12-19,19.99,90,1476139
DARK SOULS III,Adventure,2016-04-11,59.99,56,1062175
Prince of Persia: The Sands of Time,Adventure,2008-11-21,9.99,69,231266
Ori and the Blind Forest,Adventure,2015-03-10,Free,96,680122
F.E.A.R.: Perseus Mandate,Adventure,2010-05-21,9.99,N/A,1127925
Ori and the Blind Forest: Definitive Edition,Adventure,2016-04-27,19.99,93,109759
F.E.A.R.: Extraction Point,Adventure,2010-05-21,9.99,N/A,1127925
Far Cry 3,Adventure,2012-12-04,19.99,75,2912127
Counter-Strike: Source,Adventure,2004-11-01,19.99,93,14736496
Assassin's Creed Brotherhood,Adventure,2011-03-22,19.99,66,799875
Guacamelee! Gold Edition,Adventure,2013-08-08,14.99,90,734300
Nuclear Throne,Adventure,2015-12-05,11.99,96,346811
Super Hexagon,Adventure,2012-11-27,2.99,96,859664
BioShock 2,Adventure,2010-02-09,19.99,78,3071331
F.E.A.R.,Adventure,2010-05-21,9.99,90,1127925
Return to Castle Wolfenstein,Adventure,2007-08-03,4.99,88,335940
Counter-Strike,Adventure,2000-11-01,9.99,98,12522725
INSIDE,Adventure,2016-07-07,19.99,N/A,160256
Torchlight II,Adventure,2012-09-20,19.99,93,3172674
Max Payne 3,Adventure,2012-05-31,19.99,59,1664799
Dying Light,Adventure,2015-01-26,59.99,84,1460710
Brothers in Arms: Road to Hill 30,Adventure,2008-05-13,9.99,72,90472
TowerFall Ascension,Adventure,2014-03-11,14.99,84,218817
Company of Heroes: Opposing Fronts,Adventure,2007-09-24,19.99,88,2227797
Half-Life 2: Episode One,Adventure,2006-06-01,7.99,90,6015895
The Swapper,Adventure,2013-05-30,14.99,98,678719
Call of Duty: United Offensive,Adventure,2006-10-13,19.99,66,167795
DOOM 3,Adventure,2007-08-03,4.99,75,394853
Commandos 2: Men of Courage,Adventure,2007-03-15,3.99,64,505664
Battlefield: Bad Company 2,Adventure,2010-03-02,19.99,72,1723185
Crypt of the NecroDancer,Adventure,2015-04-23,14.99,98,539854
Oddworld: New 'n' Tasty,Adventure,2015-02-25,19.99,78,173406
Thief 2,Adventure,2012-05-22,6.99,93,448856
Serious Sam Classic: The First Encounter,Adventure,2010-03-22,99.99,96,659958
Dead Space 2,Adventure,2011-01-25,19.99,90,1207177
Hitman 2: Silent Assassin,Adventure,2007-03-15,6.99,72,1224359
Psychonauts,Adventure,2006-10-11,9.99,93,1359542
Bionic Commando Rearmed,Adventure,2009-07-28,9.99,25,405548
Astebreed,Adventure,2014-05-30,14.99,78,119929
Bastion,Adventure,2011-08-16,14.99,98,2210790
Saints Row IV,Adventure,2013-08-19,14.99,84,2844799
Assassin's Creed II,Adventure,2010-03-09,19.99,56,1122665
Max Payne 2: The Fall of Max Payne,Adventure,2008-01-04,9.99,84,509872
Dead Space,Adventure,2009-01-09,19.99,75,2127506
Rise of the Tomb Raider,Adventure,2016-01-28,59.99,81,916122
