ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev 
Zombie Gotchi,Early Access,2016-03-23,9.99,N/A,533
Flobe,Early Access,2016-02-22,0.99,N/A,7715
Kitten Rampage,Early Access,2016-02-03,9.99,26,2104
Silver Knight,Early Access,2016-01-15,1.99,N/A,9117
Block'hood,Early Access,2016-03-09,9.99,56,24021
The Extinction,Early Access,2015-11-02,2.99,N/A,16131
Stacks TNT,Early Access,2015-11-02,4.99,N/A,9293
WARMODE,Early Access,2015-08-25,Free,22,1532071
Gunjitsu,Early Access,2015-07-31,3.99,54,11397
Geocore,Early Access,2015-07-31,9.99,N/A,799
Polyball,Early Access,2015-06-04,14.99,59,11572
ARK: Survival Evolved,Early Access,2015-06-02,29.99,31,3628894
Killing Floor 2,Early Access,2015-04-21,29.99,52,904900
Armed with Wings: Rearmed,Early Access,2015-05-28,7.99,98,18059
Retro-Pixel Castles,Early Access,2014-10-27,9.99,66,39100
Aware,Early Access,2015-03-18,12.99,N/A,877
Collateral,Early Access,2014-11-24,24.99,N/A,3682
Darkwood,Early Access,2014-07-24,14.99,88,39626
World of Diving,Early Access,2014-08-26,19.99,28,20865
AirMech,Early Access,2012-11-08,Free,78,1178597
Legends of Azulgar,Early Access,2016-08-18,Free,N/A,5260
Switch 'N' Shoot,Early Access,2016-08-09,1.99,N/A,514
SurvHive,Early Access,2016-08-01,14.99,N/A,1027
Smash Pixel Racing,Early Access,2016-06-20,2.99,N/A,514
Head Shot,Early Access,2016-06-03,1.99,18,10345
Base Squad 49,Early Access,2016-05-03,Free,17,39976
Dead Acres,Early Access,2015-11-24,4.99,78,2981
Rogue Harvest,Early Access,2015-11-05,4.99,N/A,8591
Terminal Hacker - Into the Deep,Early Access,2015-10-30,1.99,N/A,1227
Nuclear Shot,Early Access,2015-09-07,0.99,5,56808
M4 Tank Brigade,Early Access,2015-08-17,14.99,N/A,877
Pixel Fodder,Early Access,2015-07-20,2.99,N/A,1753
Nomad,Early Access,2015-06-26,Free,25,143949
House of the Dying Sun,Early Access,2016-06-07,19.99,78,17533
Out of Reach,Early Access,2015-06-08,14.99,31,49444
Damnation City of Death,Early Access,2015-03-03,9.99,2,9994
Tail Drift,Early Access,2014-10-29,9.99,N/A,5611
Warside,Early Access,2015-05-05,Free,25,153067
Call to Arms,Early Access,2015-07-30,24.99,34,78725
FaeVerse Alchemy,Early Access,2014-04-02,Free,30,89420
Race To Mars,Early Access,2014-03-07,19.99,1,7364
Next Car Game: Wreckfest,Early Access,2014-01-14,39.99,36,290880
Hold the door!,Early Access,2016-09-02,Free,N/A,3156
Cogs and Cowboys,Early Access,2016-08-10,5.99,N/A,533
BellyBots,Early Access,2016-07-26,7.99,N/A,799
The Rebel,Early Access,2016-07-15,4.99,N/A,3507
Table Tennis VR,Early Access,2016-07-06,4.99,N/A,514
Blasters of the Universe,Early Access,2016-07-14,14.99,N/A,4383
Gloria Victis,Early Access,2016-06-09,19.99,31,36294
BloodGate,Early Access,2016-06-02,8.99,69,8767
XCavalypse,Early Access,2016-06-06,5.99,N/A,1753
Veer,Early Access,2016-04-13,2.99,N/A,7013
Cycle Of Tyrfing,Early Access,2016-04-15,7.99,N/A,877
Raw Data,Early Access,2016-07-14,39.99,75,34541
Frontier,Early Access,2016-03-04,12.99,N/A,5961
ASTROKILL,Early Access,2016-05-27,9.99,N/A,8241
Maximum Override,Early Access,2016-01-25,6.99,47,10345
Force of Elements,Early Access,2015-12-29,Free,47,17709
Doom & Destiny Advanced,Early Access,2015-06-03,9.99,93,3682
One Last Day,Early Access,2015-04-28,12.99,41,2630
Farlight Explorers,Early Access,2015-03-11,14.99,28,5611
Medieval Engineers,Early Access,2015-02-19,19.99,39,251605
Earth Under Siege,Early Access,2014-12-11,19.99,N/A,701
Savage Lands,Early Access,2015-03-05,14.99,28,456044
TerraTech,Early Access,2015-02-06,19.99,49,154119
Anarchy Arcade,Early Access,2014-09-03,Free,31,582285
Centration,Early Access,2014-04-04,Free,1,2279
Pylon: Rogue,Early Access,2016-08-14,14.99,N/A,514
Super Kaiju,Early Access,2016-07-29,19.99,N/A,1332
Cubic complex,Early Access,2016-07-19,0.99,N/A,4383
The Last Error,Early Access,2016-07-08,1.99,N/A,1066
Dead Age,Early Access,2016-07-14,14.99,69,2981
Screeps,Early Access,2016-06-20,14.99,84,4559
Prominence Poker,Early Access,2016-05-18,Free,38,149911
Garlock Online,Early Access,2016-05-30,Free,0,36820
Welkin Road,Early Access,2016-04-13,9.09,N/A,1753
The Fifth Expedition,Early Access,2016-04-07,9.99,N/A,514
Wolcen: Lords of Mayhem,Early Access,2016-03-24,19.99,49,23144
AsteroidsHD,Early Access,2016-03-04,0.99,N/A,12449
The Kindred,Early Access,2016-02-24,14.99,N/A,2455
Alchemist's Awakening,Early Access,2016-03-21,15.99,59,4383
Feed and Grow: Fish,Early Access,2016-01-08,14.99,41,22793
Gun Bombers,Early Access,2015-12-02,7.99,N/A,701
Magician's Apprentice,Early Access,2015-11-09,9.99,N/A,2805
Ironkraft - Road to Hell,Early Access,2015-10-22,9.99,N/A,701
Forsaken Fortress Strategy,Early Access,2015-09-18,9.99,18,7189
Bernie Needs Love,Early Access,2015-08-21,2.99,N/A,8591
Chronicon,Early Access,2015-07-28,9.99,90,7539
Warriors & Castles,Early Access,2015-06-30,2.99,54,10871
FRONTIERS,Early Access,2014-12-15,14.99,32,7364
Voice Of Pripyat,Early Access,2014-11-19,6.99,7,6663
Gravi,Early Access,2013-10-08,4.99,6,28579
Outbreak: Pandemic Evolution,Early Access,2016-09-09,17.99,N/A,514
DEADLOCK,Early Access,2016-08-15,5.99,N/A,514
Sneak Thief,Early Access,2016-08-05,9.99,N/A,3682
Shadows of Kurgansk,Early Access,2016-07-14,14.99,N/A,4033
The Thrill of the Fight,Early Access,2016-07-01,9.99,66,6663
90 Minute Fever,Early Access,2016-07-12,5.99,49,533
BallisticNG,Early Access,2016-05-31,Free,72,81530
"Axe, Bow & Staff",Early Access,2016-05-20,9.99,N/A,526
Endciv,Early Access,2016-04-21,14.99,N/A,2664
Party Saboteurs,Early Access,2016-04-09,9.99,N/A,8591
AuroraRL,Early Access,2016-04-08,4.99,78,1578
Labyrinth,Early Access,2016-03-07,9.99,78,3857
PIXELMAN,Early Access,2016-02-23,2.99,N/A,5961
Tower Unite,Early Access,2016-04-08,14.99,59,34190
Slime Rancher,Early Access,2016-01-14,19.99,93,284392
"Warhammer 40,000: Dark Nexus Arena",Early Access,2015-12-09,Free,5,75744
RC Simulation 2.0,Early Access,2015-11-24,14.99,32,2630
Timber and Stone,Early Access,2015-10-20,12.99,24,23495
Spellsworn,Early Access,2015-11-02,9.99,75,15079
Bounty Train,Early Access,2015-08-25,24.99,52,12449
Interstellar Rift,Early Access,2015-06-23,14.99,61,12799
Victory Command,Early Access,2015-05-19,Free,36,204440
Survarium,Early Access,2015-04-02,Free,11,2771509
Starwalker,Early Access,2014-12-23,9.99,N/A,5611
ShellShock Live,Early Access,2015-03-11,6.99,69,445524
Siege of Inaolia,Early Access,2014-11-14,4.99,N/A,7013
Orake 2D MMORPG,Early Access,2016-08-23,Free,N/A,4909
Divided We Fall,Early Access,2016-09-07,10.39,N/A,526
NEO-NOW!,Early Access,2016-08-02,4.99,N/A,3507
Windscape,Early Access,2016-09-01,16.99,N/A,701
Dimensional,Early Access,2016-07-01,4.99,N/A,1578
Left-Hand Path,Early Access,2016-06-20,14.99,56,2104
Star Merc,Early Access,2016-06-16,2.79,N/A,2630
Polynomial 2,Early Access,2016-05-31,11.99,N/A,1753
Wacky Wheels HD,Early Access,2016-04-27,9.99,N/A,514
Chunks,Early Access,2016-04-11,19.99,N/A,20865
Toy Plane Heroes,Early Access,2016-04-05,12.99,N/A,1066
Pocket Space Empire,Early Access,2016-03-09,24.99,N/A,1403
Moving Hazard,Early Access,2016-03-10,9.99,43,5435
Critical Annihilation,Early Access,2016-02-12,9.99,88,6137
Naval Action,Early Access,2016-01-21,39.99,49,78900
Lost World Zero,Early Access,2016-02-12,9.99,7,9819
Heroes Never Lose: Professor Puzzler's Perplexing Ploy,Early Access,2015-11-23,8.99,69,3857
Era: The Fantasy Settlement Sim,Early Access,2016-02-26,5.99,39,36119
Survivor: The Living Dead,Early Access,2015-10-01,5.99,N/A,799
Early Access : Fracture the Flag,Early Access,2016-06-09,2.99,81,2630
Formula Fusion,Early Access,2015-08-03,19.99,52,4208
Revolution : Virtual Playspace,Early Access,2015-07-15,19.99,N/A,1403
Galagan's Island: Reprymian Rising,Early Access,2015-06-16,1.99,81,19988
Shark Attack Deathmatch 2,Early Access,2015-05-28,4.99,52,43308
Space Beast Terror Fright,Early Access,2015-04-06,14.99,93,7715
Corona MotorSport,Early Access,2015-03-13,9.99,N/A,5085
MyRPG Master,Early Access,2015-02-09,39.99,N/A,1403
The Joylancer: Legendary Motor Knight,Early Access,2014-11-07,9.99,39,36294
Miscreated,Early Access,2014-10-30,9.99,30,257566
Imagine Earth,Early Access,2014-05-20,19.99,59,9643
Rust,Early Access,2013-12-11,19.99,54,4357408
Folk Tale,Early Access,2013-05-01,19.99,32,91524
MinosMaze - The Minotaur's Labyrinth,Early Access,2016-09-06,3.19,N/A,514
Armed Against the Undead,Early Access,2016-06-17,19.99,N/A,799
Animated Puzzles,Early Access,2016-08-03,7.99,N/A,1541
Wanderer of Teandria,Early Access,2016-05-26,4.99,N/A,1929
ZenBlade,Early Access,2016-04-29,14.99,66,28579
Attack Heroes,Early Access,2016-04-14,9.99,34,4208
Forgotten Lore,Early Access,2016-05-29,9.99,N/A,5961
Watch This!,Early Access,2016-07-08,3.99,N/A,7715
Roses and Gems,Early Access,2016-03-18,4.99,N/A,1929
Faeria,Early Access,2016-02-29,Free,61,326122
CHKN,Early Access,2016-04-01,14.99,72,11397
Path to the Sky,Early Access,2016-02-02,9.99,N/A,701
Operation Hardcore,Early Access,2016-03-02,5.99,N/A,514
I must kill...: Fresh Meat,Early Access,2015-11-30,Free,2,58737
Throbax TD,Early Access,2015-11-05,2.99,N/A,1066
Axes and Arrows,Early Access,2015-10-08,9.99,N/A,514
Crash Dummy,Early Access,2015-09-11,9.99,N/A,514
WARSHIFT,Early Access,2015-08-14,19.99,61,12449
Fork Truck Challenge,Early Access,2015-07-24,7.99,N/A,701
Tactical Genius,Early Access,2015-06-24,Free,36,59789
Soccer Rage,Early Access,2015-06-02,9.99,75,12449
Shrooms,Early Access,2015-05-08,14.99,N/A,1753
Immune,Early Access,2015-03-25,Free,17,74692
We Slay Monsters,Early Access,2014-11-17,4.99,N/A,2455
20XX,Early Access,2014-11-25,14.99,93,30684
The Long Dark,Early Access,2014-09-22,19.99,90,754814
BeamNG.drive,Early Access,2015-05-29,24.99,72,312270
Bot Colony,Early Access,2014-06-16,Free,34,1753
Kenshi,Early Access,0000-00-00,19.99,61,122909
Near Midnight,Early Access,2016-09-05,2.69,N/A,514
GIGA WRECKER,Early Access,2016-08-18,14.99,N/A,1066
Trickster VR,Early Access,2016-08-12,9.99,90,2104
Samurai Wars,Early Access,2016-07-27,1.99,N/A,514
Momento Temporis: Light from the Deep,Early Access,2016-07-07,4.99,N/A,3507
ARK: Survival Of The Fittest,Early Access,2016-03-15,Free,16,5521452
Steno Arcade,Early Access,2016-03-30,Free,41,45587
Samphi,Early Access,2016-03-18,4.99,N/A,2279
LILT,Early Access,2016-01-28,4.99,N/A,514
Evertown,Early Access,2016-01-11,2.99,38,11747
Zombie Office Politics,Early Access,2015-12-03,Free,N/A,8065
Max's Big Bust - A Captain Nekorai Tale,Early Access,2015-11-10,29.99,N/A,2131
Oncoming Death Steam Edition,Early Access,2015-10-19,4.99,N/A,799
Sky Arena,Early Access,2015-10-05,14.99,N/A,1227
Super Cane Magic ZERO,Early Access,2015-08-26,19.99,96,4559
Pulsen,Early Access,2015-07-27,14.99,N/A,533
Instinct,Early Access,2015-06-01,1.99,2,10695
Soul Locus,Early Access,2015-04-30,9.99,N/A,1227
Hollow's Land,Early Access,2014-12-23,Free,N/A,514
Hearthlands,Early Access,2014-12-12,19.99,88,15780
Homebrew - Vehicle Sandbox,Early Access,2014-11-14,17.99,32,35593
Sky Nations,Early Access,2014-07-17,13.99,39,4033
Colossal Kaiju Combat: Kaijuland Battles,Early Access,2014-08-11,4.99,16,6487
Line of Defense MMO,Early Access,2014-09-16,9.99,0,1578
SNOW,Early Access,2013-10-10,Free,38,958728
ALONE?,Early Access,2016-08-24,2.99,N/A,701
Spaaace,Early Access,2016-08-15,3.99,N/A,514
Looterkings,Early Access,2016-08-16,17.99,72,2455
The Fallen Kingdom,Early Access,2016-07-27,7.99,56,1332
The Great Whale Road,Early Access,2016-07-28,14.99,N/A,1052
Kaboom Monsters,Early Access,2016-07-07,2.99,N/A,1753
Zaccaria Pinball,Early Access,2016-06-16,Free,45,42431
Kodon,Early Access,2016-06-03,19.99,N/A,1403
Rogue System,Early Access,2016-05-16,29.99,98,2131
Unfortunate Spacemen,Early Access,2016-05-06,14.99,41,1403
Whirligig,Early Access,2016-04-03,3.99,38,23845
Rivalry,Early Access,2016-01-22,2.99,N/A,2279
Heresy,Early Access,2015-11-19,19.99,N/A,514
Carrotting Brain,Early Access,2015-10-23,8.99,N/A,533
Lost Moon,Early Access,2015-09-28,7.99,N/A,27177
Dragonflight,Early Access,2015-08-31,15.99,41,3156
Dead Realm,Early Access,2015-07-30,14.99,39,208648
Barbara-ian,Early Access,2015-07-17,5.99,N/A,533
BIOS,Early Access,2015-06-04,14.99,72,1929
room13,Early Access,2015-05-15,7.99,N/A,2455
Moonrise,Early Access,2015-05-27,Free,28,17709
WolfWars,Early Access,2015-01-02,4.99,N/A,2279
Reflex,Early Access,2014-11-04,9.99,72,38223
CubeZ,Early Access,2014-12-01,7.99,N/A,9117
Pro Wrestling X,Early Access,2014-11-18,9.99,32,2981
Steel Storm: A.M.M.O.,Early Access,2013-09-25,9.99,N/A,514
Project Zomboid,Early Access,2013-11-08,14.99,81,700285
Aim Hero,Early Access,2016-09-05,4.99,N/A,1066
Redswood VR,Early Access,2016-08-18,3.99,N/A,1066
Don't Crawl,Early Access,2016-08-31,8.99,N/A,514
MIGHT,Early Access,2016-07-13,4.99,N/A,4383
Leviathan: The Cargo,Early Access,2016-07-10,10.99,N/A,799
LuckCatchers,Early Access,2016-06-15,Free,11,90823
SWORDY,Early Access,2016-07-21,14.99,N/A,526
Tank Blast,Early Access,2016-07-13,4.99,N/A,877
Three Days,Early Access,2016-05-11,4.99,N/A,2981
Gunslinger Trainer,Early Access,2016-04-05,3.99,N/A,514
Fire With Fire: Online Tower Attack and Defense,Early Access,2016-03-29,Free,10,66452
MachineCraft,Early Access,2016-03-25,Free,39,225655
Caretaker Sacrifice,Early Access,2016-08-17,5.99,N/A,514
Air Missions: HIND,Early Access,2016-03-21,16.99,72,2805
Monsters!,Early Access,2015-09-01,4.99,N/A,533
MegaSphere,Early Access,2015-08-25,14.99,N/A,2398
Pump-Action Captain,Early Access,2015-08-20,4.99,N/A,3857
Teddy Terror,Early Access,2015-05-21,4.99,N/A,8065
Survival: Postapocalypse Now,Early Access,2015-04-16,4.99,17,126241
Besiege,Early Access,2015-01-28,7.99,96,1636746
Celestial Command,Early Access,2014-11-20,7.99,54,12449
StarCrawlers,Early Access,2015-03-17,19.99,88,9819
Of Guards And Thieves,Early Access,2014-07-16,14.99,66,32437
Organic Panic,Early Access,2014-05-14,Free,N/A,12449
Project Nimbus,Early Access,2014-11-05,11.24,78,19111
Heroes & Generals,Early Access,2014-07-11,Free,28,10385050
Final Fleet,Early Access,2016-09-08,14.99,N/A,2055
In Celebration of Violence,Early Access,2016-08-12,7.99,N/A,1027
Of Kings And Men,Early Access,2016-08-25,24.99,45,28053
Car Car Crash Hands On Edition,Early Access,2016-07-05,4.99,N/A,514
Force VR,Early Access,2016-06-20,2.99,N/A,1403
Johnny Graves—The Unchosen One,Early Access,2016-06-15,14.99,N/A,4559
Titans of Space 2.0,Early Access,2016-05-23,7.99,93,5611
Galactineers,Early Access,2016-03-25,9.99,N/A,1865
Dungeons & Robots,Early Access,2016-02-29,8.99,19,1578
Monsters & Monocles,Early Access,2016-08-16,14.99,72,2104
Strange Space,Early Access,2015-12-22,1.99,N/A,533
Idle Civilization,Early Access,2015-11-23,4.99,47,8767
DesertLand 2115,Early Access,2015-10-30,4.99,N/A,799
Indie Game Battle,Early Access,2015-10-29,9.99,15,88368
StoryMode - A Game About Crafting,Early Access,2015-09-07,4.99,N/A,7715
The Falling Sun,Early Access,2015-04-07,4.99,11,61367
TOTM,Early Access,2015-02-03,7.99,N/A,2279
Fancy Skulls,Early Access,2014-06-16,8.99,49,38924
Gang Beasts,Early Access,2014-08-29,19.99,47,411159
Calibre 10 Racing Series,Early Access,2014-03-26,9.99,12,16306
The Forest,Early Access,2014-05-30,14.99,78,2228849
Stellar Interface,Early Access,2016-09-09,7.19,N/A,514
Starr Mazer: DSP,Early Access,2016-08-26,9.99,75,1578
Thirst,Early Access,2016-08-10,2.99,N/A,514
Zero G Arena,Early Access,2016-07-28,Free,88,45938
Moon Colonization Project,Early Access,2016-07-09,2.99,N/A,7013
CapRiders: Euro Soccer,Early Access,2016-06-18,6.99,N/A,533
PlanetFate,Early Access,2016-06-06,5.99,N/A,1403
The HinterLands,Early Access,2016-05-27,2.99,N/A,1027
Strayed,Early Access,2016-05-07,6.99,2,91524
Ember Strike,Early Access,2016-05-26,Free,52,73816
StarFringe: Adversus,Early Access,2016-04-05,6.99,N/A,10520
Pandora`s room,Early Access,2016-03-29,8.99,N/A,1027
Wayward,Early Access,2016-04-22,7.99,72,8416
Shadow Of Nebula,Early Access,2016-02-29,4.99,N/A,1066
Islet Online,Early Access,2016-02-01,24.99,59,5085
Divergence: Online,Early Access,2016-01-06,29.99,28,1052
Blackfaun,Early Access,2015-12-03,14.99,N/A,533
Galaxy Admirals,Early Access,2015-11-06,1.99,81,24722
Sky Break,Early Access,2015-10-22,14.99,59,3331
Uncraft World,Early Access,2015-09-25,9.99,78,8591
FLYING TIGERS: SHADOWS OVER CHINA,Early Access,2015-08-18,15.99,47,45412
No Turning Back: The Pixel Art Action-Adventure Roguelike,Early Access,2016-01-15,4.99,36,12799
DungeonRift,Early Access,2015-07-01,9.99,N/A,11923
Dungeoncraft,Early Access,2015-06-05,9.99,N/A,2279
Whitewash,Early Access,2015-04-30,14.99,N/A,2104
Pixel: ru,Early Access,2015-03-06,9.99,N/A,1227
AdVenture Communist,Early Access,2016-08-23,Free,31,171828
Malazard: The Master of Magic,Early Access,2016-08-08,7.99,N/A,1027
DATH,Early Access,2016-07-15,5.99,N/A,514
Orbital Strike: Arena,Early Access,2016-07-12,14.99,N/A,701
Ahnayro: The Dream World,Early Access,2016-06-10,5.99,N/A,1066
Arma 3,Ex Early Access,2013-09-12,39.99,75,2568998
Starbound,Ex Early Access,2016-07-22,12.74,75,2357720
Don't Starve Together Beta,Ex Early Access,2016-04-21,14.99,96,4651443
Prison Architect,Ex Early Access,2015-10-06,29.99,90,1851705
Ghost in the Shell: Stand Alone Complex - First Assault Online,Ex Early Access,2016-07-28,Free,31,913141
Kerbal Space Program,Ex Early Access,2015-04-27,39.99,98,1531896
Grim Dawn,Ex Early Access,2016-02-25,24.99,88,560193
Master of Orion,Ex Early Access,2016-08-25,29.99,36,111688
Assetto Corsa,Ex Early Access,2014-12-19,29.99,69,341551
Tabletop Simulator,Ex Early Access,2015-06-05,19.99,88,802856
Verdun,Ex Early Access,2015-04-28,24.99,66,490235
Armello,Ex Early Access,2015-09-01,19.99,66,146053
Darkest Dungeon,Ex Early Access,2016-01-19,24.99,64,906128
SpeedRunners,Ex Early Access,2016-04-19,14.99,90,1203845
Galactic Civilizations III,Ex Early Access,2015-05-14,39.99,45,282464
How to Survive 2,Ex Early Access,2016-09-08,8.99,36,255813
Broforce,Ex Early Access,2015-10-15,14.99,98,771296
DiRT Rally,Ex Early Access,2015-12-07,59.99,81,336466
Youtubers Life,Ex Early Access,2016-05-18,14.99,54,425536
Lost Castle,Ex Early Access,2016-08-31,9.99,88,127293
Life is Feudal: Your Own,Ex Early Access,2015-11-17,39.99,28,375566
Red Crucible: Firestorm,Ex Early Access,2015-12-22,Free,17,1609218
Nuclear Throne,Ex Early Access,2015-12-05,11.99,96,346811
Plague Inc: Evolved,Ex Early Access,2016-02-18,14.99,90,912264
Roguelands,Ex Early Access,2016-06-13,9.99,64,153418
Atlas Reactor,Ex Early Access,2016-05-12,Free,49,54354
Reign Of Kings,Ex Early Access,2015-12-15,19.99,20,469370
RUNNING WITH RIFLES,Ex Early Access,2015-04-02,14.99,78,184276
sZone-Online,Ex Early Access,2015-12-29,Free,5,1627102
Gear Up,Ex Early Access,2015-01-28,Free,39,1892734
Savage: Resurrection,Ex Early Access,2016-08-18,19.99,41,58211
Turmoil,Ex Early Access,2016-06-02,9.99,75,133605
Crypt of the NecroDancer,Ex Early Access,2015-04-23,14.99,98,539854
Thea: The Awakening,Ex Early Access,2015-11-20,19.99,78,78550
Who's Your Daddy,Ex Early Access,2016-05-13,4.99,52,597364
Sheltered,Ex Early Access,2016-03-15,14.99,49,165691
Mordheim: City of the Damned,Ex Early Access,2015-11-19,13.59,32,126591
Eastside Hockey Manager: Early Access,Ex Early Access,2015-12-01,19.99,66,136585
Primal Carnage: Extinction,Ex Early Access,2015-04-03,19.99,39,97486
FortressCraft Evolved,Ex Early Access,2015-11-09,12.99,43,99941
RWBY: Grimm Eclipse,Ex Early Access,2016-07-05,19.99,72,203388
Strife,Ex Early Access,2015-05-22,Free,45,1315007
Ashes of the Singularity,Ex Early Access,2016-03-31,39.99,31,87842
Viscera Cleanup Detail,Ex Early Access,2015-10-23,12.99,84,391872
The Curious Expedition,Ex Early Access,2016-09-02,14.99,81,30859
Mini Metro,Ex Early Access,2015-11-06,9.99,96,250027
Divinity: Original Sin,Ex Early Access,2014-06-30,Free,81,1089878
Move or Die,Ex Early Access,2016-01-21,14.99,64,161132
Epistory - Typing Chronicle,Ex Early Access,2016-03-30,14.99,96,56984
FaceRig,Ex Early Access,2015-07-07,14.99,61,290880
Spooky's House of Jump Scares,Ex Early Access,2015-07-28,Free,84,962761
Offworld Trading Company,Ex Early Access,2016-04-28,39.99,47,143599
Poly Bridge,Ex Early Access,2016-07-12,11.99,75,199530
UBERMOSH,Ex Early Access,2015-08-13,1.99,81,58211
War for the Overworld,Ex Early Access,2015-04-02,29.99,45,152541
Half dead,Ex Early Access,2016-08-01,1.99,69,94505
Naval Action,Ex Early Access,2016-01-21,39.99,49,78900
Sorcerer King,Ex Early Access,2015-07-16,24.99,31,39275
Victor Vran,Ex Early Access,2015-07-24,19.99,81,227409
SolForge,Ex Early Access,2016-07-25,Free,31,281236
Automobilista,Ex Early Access,2016-08-24,39.99,81,20689
Blockstorm,Ex Early Access,2015-05-21,4.99,59,247046
MX vs. ATV Supercross Encore,Ex Early Access,2015-10-27,29.99,9,12799
Battle of Empires : 1914-1918,Ex Early Access,2015-07-22,4.99,25,49970
Dungeon Rushers,Ex Early Access,2016-09-06,11.99,64,6663
Layers of Fear,Ex Early Access,2016-02-15,19.99,88,142722
Tempest,Ex Early Access,2016-08-22,14.99,43,32437
Robot Roller-Derby Disco Dodgeball,Ex Early Access,2015-02-19,9.99,88,246520
The Big Elk,Ex Early Access,2016-05-24,4.99,81,21391
Audiosurf 2,Ex Early Access,2015-05-26,14.99,69,212330
Gnomoria,Ex Early Access,2016-02-23,14.99,64,249676
TIS-100,Ex Early Access,2015-07-20,6.99,98,169198
Particula,Ex Early Access,2015-02-02,0.99,28,464110
Trinium Wars,Ex Early Access,2016-03-02,Free,15,198829
Boid,Ex Early Access,2016-07-08,Free,59,182348
Victory: The Age of Racing,Ex Early Access,2016-02-12,Free,7,323842
Rising World,Ex Early Access,2014-12-03,14.99,54,95031
Shoppe Keep,Ex Early Access,2016-05-20,9.99,54,86966
Skara - The Blade Remains,Ex Early Access,2014-10-27,Free,31,107831
Magicka: Wizard Wars,Ex Early Access,2015-04-28,Free,64,3379568
theHunter: Primal,Ex Early Access,2015-03-31,9.99,23,156223
Subterrain,Ex Early Access,2016-01-21,16.99,84,15254
Deadbreed,Ex Early Access,2016-04-14,Free,20,687836
"Gremlins, Inc.",Ex Early Access,2016-03-10,14.99,66,40152
Ultimate Arena,Ex Early Access,2016-08-22,2.99,56,55406
Rampage Knights,Ex Early Access,2015-09-04,11.99,90,86264
The Solus Project,Ex Early Access,2016-06-07,19.99,54,59263
Windward,Ex Early Access,2015-05-12,9.99,56,165866
Rebirth of Island,Ex Early Access,2016-04-15,4.99,N/A,7890
Zombasite,Ex Early Access,2016-08-23,19.99,49,3156
Star Ruler 2,Ex Early Access,2015-03-27,24.99,52,47691
Endorlight,Ex Early Access,2016-04-26,2.99,16,284918
Drive Any Track,Ex Early Access,2016-05-12,9.99,72,24371
The Way of Life,Ex Early Access,2016-05-31,Free,43,1022199
Ascent - The Space Game,Ex Early Access,2016-04-11,19.99,39,16657
Blueprint Tycoon,Ex Early Access,2016-05-13,2.99,61,45762
Star Crusade CCG,Ex Early Access,2016-09-07,Free,41,97837
"Kivi, Toilet and Shotgun",Ex Early Access,2016-01-15,0.99,13,104324
I am Bread,Ex Early Access,2015-04-09,12.99,47,459727
Trine 3: The Artifacts of Power,Ex Early Access,2015-08-20,21.99,26,379599
Halcyon 6: Starbase Commander,Ex Early Access,2016-09-08,16.99,88,12799
Nom Nom Galaxy,Ex Early Access,2015-08-03,9.99,38,49620
Zotrix,Ex Early Access,2015-07-24,12.99,31,17358
Infinifactory,Ex Early Access,2015-06-30,24.99,96,126065
Hover Junkers,Ex Early Access,2016-04-05,34.99,56,39626
Coffin Dodgers,Ex Early Access,2015-07-08,10.99,36,55230
The Red Solstice,Ex Early Access,2015-07-09,19.99,61,127819
Cards and Castles,Ex Early Access,2015-12-18,Free,30,92051
Air Brawl,Ex Early Access,2015-11-05,Free,39,94856
Catch Me,Ex Early Access,2016-09-05,4.74,88,10345
The Age of Decadence,Ex Early Access,2015-10-14,29.99,61,41905
Flesh Eaters,Ex Early Access,2016-05-03,1.99,47,242663
Siralim 2,Ex Early Access,2016-08-12,14.99,93,5961
Pool Nation FX,Ex Early Access,2015-12-07,Free,23,438862
Neon Hardcorps,Ex Early Access,2016-05-30,0.99,13,65575
Satellite Reign,Ex Early Access,2015-08-27,29.99,52,174984
Legends of Eisenwald,Ex Early Access,2015-07-02,19.99,45,59263
Kidnapped,Ex Early Access,2015-08-04,2.99,17,82056
Guardians of Victoria,Ex Early Access,2016-04-29,1.99,1,65575
The Four Kings Casino and Slots,Ex Early Access,2015-06-01,Free,34,309991
Bell Ringer,Ex Early Access,2016-03-18,6.99,1,129397
Invasion: Brain Craving,Ex Early Access,2016-06-22,0.99,7,97135
Underrail,Ex Early Access,2015-12-18,14.99,75,45938
RONIN,Ex Early Access,2015-06-30,12.99,30,108006
Knight Squad,Ex Early Access,2015-11-16,14.99,66,83459
Run Rabbit Run,Ex Early Access,2016-03-31,3.99,59,13150
Kick Ass Commandos,Ex Early Access,2015-11-06,7.99,96,11046
"Warhammer 40,000: Regicide",Ex Early Access,2015-09-08,14.99,43,89245
The Magic Circle,Ex Early Access,2015-07-09,19.99,84,90823
Emporea,Ex Early Access,2016-06-08,Free,19,129221
Xenonauts,Ex Early Access,2014-06-16,24.99,78,210226
Windlands,Ex Early Access,2016-04-05,19.99,56,21917
Tadpole Treble,Ex Early Access,2016-09-02,9.99,100,3156
Train Valley,Ex Early Access,2015-09-16,9.99,84,25599
Last Hope - Tower Defense,Ex Early Access,2016-04-13,8.99,61,10169
Dead Effect 2,Ex Early Access,2016-05-06,11.99,31,20689
Lup,Ex Early Access,2016-04-01,0.99,13,106428
