ime,ocena_ign
Octodad: Dadliest Catch,7.8
Might & Magic X: Legacy,7.3
Insurgency,7.5
CONSORTIUM,7.2
KickBeat: Steam Edition,6.5
Assassin's Creed Liberation HD,5.2
Broken Age: Act 1,9.5
continue?9876543210,7.9
Not The Robots,6.5
The Banner Saga,8.6
Metal Gear Rising: Revengeance,8.5
Ravensword: Shadowlands,5.6
Samurai Gunn,8.3
World of Warplanes,7.8
Air Conflicts: Vietnam,3.5
The Novelist,6.5
The Raven: Legacy of a Master Thief - A Murder of Ravens,6.5
Redshirt,7.4
X Rebirth,4.3
Baldur's Gate II: Enhanced Edition,8.3
Chivalry: Deadliest Warrior,8.1
SimCity: Cities of Tomorrow Expansion Pack,7.5
Path of Exile,8.8
Eldritch,7.7
Prime World,5.9
Batman: Arkham Origins,7.8
The Stanley Parable,8.8
Glare,7.1
Knock-knock,6.2
Soundodger+,7.3
Legends of Aethereus,4.7
Dragon's Prophet,5.1
The Raven: Legacy of a Master Thief - Ancestry of Lies,5.5
Alien Rage,4.4
Guardians of Middle-Earth,7.9
Shadow Warrior,8.6
MechWarrior Online,7.3
Scribblenauts Unmasked: A DC Comics Adventure,9.1
Narco Terror,6.5
Foul Play,8.1
Amnesia: A Machine for Pigs,8.3
Total War: Rome II,8.8
Sid Meier's Ace Patrol,7.9
Outlast,7.8
Space Hulk,6.7
Guncraft,6.4
Teleglitch: Die More Edition,7.8
Europa Universalis IV,8.9
Gone Home,9.5
"Papers, Please",8.7
Divinity: Dragon Commander,7.8
Guacamelee! Gold Edition,9.1
Rise of the Triad,4.3
Halo: Spartan Assault,6.7
Shadowrun Returns,7.3
Dota 2,9.4
R.I.P.D. The Game,4.5
Legends of Dawn,2.8
Leisure Suit Larry: Reloaded,4.1
Kentucky Route Zero - Act II,9.1
Sid Meier's Civilization V: Brave New World,9.4
Magic: Duels of the Planeswalkers 2014,8.1
Rising Storm,8.3
Dungeons & Dragons: Chronicles of Mystara,8.3
Neverwinter,6.8
Magrunner: Dark Pulse,6.8
Marvel Heroes,5.7
The Night of the Rabbit,7.9
Wargame: AirLand Battle,8.4
The Swapper,9.3
Thunder Wolves,6.7
Reus,6.8
Sanctum 2,8.5
Metro: Last Light,7.7
StarDrive,4.5
Mars: War Logs,5.3
Zeno Clash II,6.4
Fez,9.5
Sacred Citadel,5.9
God Mode,6.7
Surgeon Simulator 2013,7.8
Star Wars: The Old Republic - Rise of the Hutt Cartel,7.6
ShootMania Storm,7.8
Cities in Motion 2,7.5
Slender: The Arrival,6.5
Incredipede,8.5
Super House of Dead Ninjas,8.3
Starcraft II: Heart of the Swarm,8.6
The Banner Saga: Factions,7.8
March of the Eagles,7.9
Retrovirus,6.6
Akaneiro: Demon Hunters,4.5
Dungeonland,4.6
Proteus,8.5
Antichamber,8.6
Fieldrunners 2,8.1
Strike Suit Zero,7.5
Kentucky Route Zero - Act I,8.3
Primordia,6.8
Omerta: City of Gangsters,5.2
Ace of Spades,5.9
AirBuccaneers,7.5
The Sims 3 Seasons,7.5
Nancy Drew: The Deadly Device,6.8
Rift: Storm Legion,8.3
Miasmata,7.9
Baldur's Gate: Enhanced Edition,8.1
Assassin's Creed III,8.6
Scribblenauts Unlimited,8.8
Elemental: Fallen Enchantress,7.9
Guns of Icarus Online,7.3
Farming Simulator 2013,7.1
Primal Carnage,7.6
Chivalry: Medieval Warfare,7.9
Hotline Miami,8.8
The Lord of the Rings Online: Riders of Rohan,8.3
Diaspora: Shattered Armistice,7.4
Ravaged,6.7
Colour Bind,6.2
World of Warcraft: Mists of Pandaria,8.7
War of the Roses,7.3
Torchlight II,9.1
The Sims 3 Supernatural,4.5
They Bleed Pixels,8.2
Home,6.5
Mass Effect 3: Leviathan,7.5
Tom Clancy's Ghost Recon Phantoms,7.5
Hoodwink,2.5
The Political Machine 2012,6.5
Anna,5.5
Roller Coaster Rampage,6.5
Tiny & Big: Grandpa's Leftovers,7.5
Sins of a Solar Empire: Rebellion,7.5
Warlock: Master of the Arcane,7.5
Inversion,5.5
TERA,6.5
Diablo III,9.5
A Valley Without Wind,5.5
MacGuffin's Curse,6.5
Risen 2: Dark Waters,6.5
Lone Survivor,8.5
Blacklight: Retribution,8.5
Legend of Grimrock,8.5
Waves,8.5
Pineapple Smash Crew,5.5
4 Elements II,7.5
Oil Rush,6.5
SOL: Exodus,5.5
Unstoppable Gorg,6.5
Afterfall: InSanity,4.5
Q.U.B.E.,6.5
Postal III,5.5
Earth Defense Force: Insect Armageddon,7.5
Anno 2070,8.5
To the Moon,7.5
Batman: Arkham City,9.5
Saints Row: The Third,8.5
Sword of the Stars II: Lords of Winter,2.5
L.A. Noire: The Complete Edition,8.5
The Elder Scrolls V: Skyrim,9.5
Rochard,8.5
Sonic Generations,8.5
Stronghold 3,5.5
Before the Echo,6.5
Dungeon Defenders,8.5
The Sims 3: Pets,7.5
Dragon Age II: Mark of the Assassin,8.5
The Binding of Isaac,7.5
OIO The Game,7.5
Dragon Nest,8.5
Rage,8.5
Blocks That Matter,8.5
TrackMania 2 Canyon,8.5
The Sims Medieval: Pirates & Nobles,5.5
Rock of Ages,7.5
Call of Juarez: The Cartel,4.5
Hard Reset,7.5
Tropico 4,8.5
"Warhammer 40,000: Space Marine",7.5
From Dust,8.5
Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,7.5
Pirates of Black Cove,5.5
Runespell: Overture,6.5
Dungeons of Dredmor,8.5
World of Tanks,7.5
Super Street Fighter IV: Arcade Edition,8.5
Jamestown: Legend of the Lost Colony,8.5
Magic: The Gathering - Duels of the Planeswalkers 2012,8.5
Dungeon Siege III,6.5
Back to the Future: The Game - Episode IV: Double Visions,6.5
Alice: Madness Returns,6.5
Frozen Synapse,8.5
Duke Nukem Forever,5.5
Cargo! The Quest for Gravity,5.5
Two Worlds II Castle Defense,6.5
DiRT 3,8.5
Fortix 2,7.5
Mount & Blade: With Fire & Sword,7.5
CAPSIZED,8.5
Fallout: New Vegas - Honest Hearts,7.5
Yar's Revenge,5.5
Black Mirror III: Final Fear,7.5
Brink,6.5
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,7.5
Your Doodles Are Bugged!,7.5
Gray Matter,7.5
Shadow Harvest: Phantom Ops,4.5
Operation Flashpoint: Red River,7.5
Dino D-Day,5.5
Portal 2,9.5
Hoard,7.5
Back to the Future: The Game - Episode III: Citizen Brown,7.5
Shift 2: Unleashed,8.5
The Sims Medieval,8.5
LEGO Star Wars III: The Clone Wars,7.5
Ghostbusters: Sanctum of Slime,4.5
Atom Zombie Smasher,7.5
Rift,8.5
Battle: Los Angeles,5.5
RISK: Factions,7.5
Dragon Age II,8.5
Alien Breed 3: Descent,6.5
Back to the Future: The Game - Episode II: Get Tannen!,8.5
"Warhammer 40,000: Dawn of War II - Retribution",8.5
Dungeons,6.5
A.R.E.S. Extinction Agenda,7.5
Test Drive Unlimited 2,5.5
Crasher,5.5
NightSky,7.5
Back to the Future: The Game - Episode I: It's About Time,8.5
Battlefield: Bad Company 2 Vietnam,9.5
Clones,6.5
Zen Bound 2,7.5
DeathSpank: Thongs of Virtue,8.5
Guardians of Graxia,5.5
The UnderGarden,6.5
Call of Duty: Black Ops,8.5
Evil Days: Pound of Ground,3.5
Bit.Trip Beat,7.5
Cooking Dash 3: Thrills & Spills,8.5
Star Wars: The Force Unleashed II,6.5
The Sims 3: Late Night Expansion Pack,7.5
DeathSpank,8.5
Lara Croft and the Guardian of Light,8.5
Patrician IV,6.5
Medal of Honor,6.5
Arcania: Gothic 4,7.5
Final Fantasy XIV Online,5.5
Worms Reloaded,8.5
R.U.S.E.,8.5
Recettear: An Item Shop's Tale,7.5
Puzzle Quest 2,8.5
Dragon Age: Origins - Witch Hunt,6.5
Mass Effect 2: Lair of the Shadow Broker,9.5
Amnesia: The Dark Descent,8.5
Drawn: Dark Flight,7.5
Wedding Dash 4-Ever,7.5
Blacklight: Tango Down,6.5
Beat Hazard,7.6
Tom Clancy's Splinter Cell: Conviction,8.5
APB (All Points Bulletin),7.7
Monkey Island 2 Special Edition: LeChuck's Revenge,8.9
LEGO Harry Potter: Years 1-4,8.5
Magic: The Gathering - Duels of the Planeswalkers,7.5
Age of Conan: Rise of the Godslayer,7.9
Alpha Protocol,6.3
Split/Second,8.5
Dragon Age: Origins - Darkspawn Chronicles,6.5
Dawn of Discovery: Venice,6.5
Left 4 Dead 2: The Passing,8.5
Grand Theft Auto: Episodes from Liberty City,9.2
Mount & Blade: Warband,8.1
"Hamlet, or the last game without MMORPG features, shaders and product placement",7.5
Mass Effect 2: Kasumi - Stolen Memory,7.5
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,7.2
EverQuest II: Sentinel's Fate,7.2
A Kingdom for Keflings,8.5
Silent Hunter 5: Battle of the Atlantic,5.7
Just Cause 2,8.8
Simon the Sorcerer 5: Who'd Even Want Contact?!,7.3
Metro 2033,6.9
Command & Conquer 4: Tiberian Twilight,7.4
"Warhammer 40,000: Dawn of War II - Chaos Rising",8.5
Dragon Age: Origins - Awakening,8.5
Assassin's Creed II,8.9
Global Agenda,8.4
Diner Dash 5: Boom,6.5
Major League Baseball 2K10,7.3
Supreme Commander 2,8.4
Dragon Age: Origins - Return to Ostagar,8.5
Battlefield: Bad Company 2,8.9
Borderlands: The Secret Armory of General Knoxx,8.8
Aliens vs. Predator,7.3
Napoleon: Total War,8.9
