"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"3","Don't Starve Together Beta","Apr 21, 2016","$14.99","96% (96%/83%)","4,651,443 ±55,419","20:43"
"6","Don't Starve","","$14.99","98% (97%/79%)","3,457,066 ±47,864","22:46"
"1","Mark of the Ninja","Oct 16, 2012","$14.99","98% (97%/91%)","1,505,596 ±31,681","06:36"
"7","Shank 2","Feb 7, 2012","$9.99","59% (83%/72%)","556,336 ±19,286","03:18"
"2","Crypt of the NecroDancer","Apr 23, 2015","$14.99","98% (97%/87%)","539,854 ±18,998","11:12"
"8","Shank","Oct 25, 2010","$9.99","75% (89%/67%)","493,917 ±18,173","02:04"
"9","Eets Munchies","Mar 11, 2014","$6.99","49% (79%)","490,761 ±18,115","01:37"
"5","Eets","Mar 29, 2006","$9.99","9% (46%/81%)","249,676 ±12,926","00:49"
"4","Invisible, Inc.","May 12, 2015","$19.99","88% (93%/82%)","205,842 ±11,737","10:48"
