"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)"
"30","Virtua Tennis 4","Jun 24, 2011","$14.99","34% (71%/66%)","62,945 ±6,492","08:29"
"33","Space Siege","Aug 14, 2008","$14.99","11% (50%/60%)","39,626 ±5,151","04:15"
"65","Tembo: The Badass Elephant","Jul 21, 2015","$14.99","41% (75%)","34,892 ±4,833","01:52"
"29","The Club","Feb 20, 2008","$14.99","10% (48%/67%)","19,813 ±3,642","00:37"
"35","Vancouver 2010: The Official Video Game of the Olympic Winter Games","Feb 18, 2010","Free","N/A (N/A/57%)","7,539 ±2,247","02:51"
"70","Football Manager Touch 2016","","$29.99","N/A (N/A)","6,137 ±2,027","109:21"
"39","Rise","Jul 26, 2016","$14.99","N/A (N/A)","1,929 ±1,136","00:01"
"38","Emily: Displaced","Jul 26, 2016","$14.99","N/A (N/A)","1,753 ±1,083","00:02"
"60","10 Minute Tower","Jul 26, 2016","$14.99","N/A (N/A)","1,753 ±1,083","00:12"
"66","Malkia","Jul 26, 2016","$14.99","N/A (N/A)","1,753 ±1,083","00:00"
"43","Octamari Rescue","Jul 26, 2016","$14.99","N/A (N/A)","1,578 ±1,028","00:02"
"46","HELP: THE GAME","Jul 26, 2016","$14.99","N/A (N/A)","1,578 ±1,028","00:01"
"47","Captain Curve's Intergalactic Space Adventure","Jul 26, 2016","$14.99","N/A (N/A)","1,578 ±1,028","00:03"
"50","BlockAid","Jul 26, 2016","$14.99","N/A (N/A)","1,578 ±1,028","16:49"
"55","Splash Bash","Jul 26, 2016","$14.99","N/A (N/A)","1,578 ±1,028","00:01"
"64","Anthelion","Jul 26, 2016","$14.99","N/A (N/A)","1,578 ±1,028","00:02"
"71","NeverMine","Jul 26, 2016","$14.99","N/A (N/A)","1,403 ±969","00:03"
"49","Beijing 2008","Aug 14, 2008","Free","N/A (N/A)","1,227 ±906","03:18"
"54","Warhammer® 40,000™: Dawn of War® III","","Free","N/A (N/A)","514 ±1,005","01:42"
