ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
IL-2 Sturmovik: Battle of Stalingrad,2014-10-22,49.99,32,41204,23:11
Incredipede,2013-03-18,9.99,36,150086,01:14
WWE 2K16,2016-03-10,49.99,26,113967,30:20
Bad Mojo Redux,2014-07-03,5.99,N/A,15780,00:42
Caesar 4,2016-08-29,9.99,N/A,32612,05:08
Crookz - The Big Heist,2015-08-25,19.99,66,11221,07:28
Ceres,2015-10-16,19.99,30,3682,13:51
Comanche 4,2009-06-18,9.99,N/A,15955,06:27
Space Colony,2015-04-30,14.99,36,34366,05:56
Project Highrise,2016-09-08,19.99,78,15429,03:57
Arma 3,2013-09-12,39.99,75,2568998,163:36
X3: Terran Conflict,2008-10-16,15.99,64,526354,43:53
0RBITALIS,2015-05-28,9.99,38,30859,01:42
Arma 2: Operation Arrowhead,2010-06-29,19.99,84,3919072,52:03
Poly Bridge,2016-07-12,11.99,75,199530,07:12
Qvadriga,2014-06-13,19.99,54,24547,08:43
Blazing Angels 2: Secret Missions of WWII,2008-05-13,9.99,N/A,19988,05:00
Cities in Motion 2,2013-04-02,19.99,17,675037,16:41
Gratuitous Space Battles,2009-11-16,14.99,41,540731,05:32
Majesty 2,2009-09-17,9.99,39,101343,19:30
Valentino Rossi The Game,2016-06-16,49.99,54,5085,21:29
The Last Federation,2014-04-18,19.99,39,82582,06:07
DUNGEONS - The Dark Lord (Steam Special Edition),2011-09-27,19.99,5,162710,02:52
Anno 2205,2015-11-02,39.99,15,85738,28:48
Grand Ages: Rome,2009-03-20,9.99,38,199004,08:26
Big Pharma,2015-08-27,24.99,47,92051,13:29
MX vs. ATV Unleashed,2015-04-16,9.99,28,22793,05:06
Dyscourse,2015-03-25,14.99,52,55932,02:47
Toy Soldiers,2012-04-27,9.99,78,216187,05:31
To End All Wars,2014-08-29,39.99,32,10169,13:06
The Escapists,2015-02-13,17.99,81,761301,12:30
Surgeon Simulator,2013-04-19,9.99,59,1618686,03:37
Star Wars Starfighter,2009-07-08,5.99,8,731144,01:37
March of the Eagles,2013-02-18,19.99,28,78024,11:27
Cities in Motion,2011-02-22,19.99,43,253007,29:00
Democracy 3,2013-10-14,24.99,45,481819,07:38
WWE 2K15,2015-04-28,49.99,30,89245,28:05
Echelon,2014-07-03,3.99,7,24196,03:35
Spore: Galactic Adventures,2009-06-23,19.99,47,682576,17:10
Planetbase,2015-10-15,19.99,49,200933,24:11
Steel Armor - Blaze of War,2015-03-05,29.99,52,4909,07:22
Verdun,2015-04-28,24.99,66,490235,15:24
Fate of the World,2011-02-28,9.99,47,80128,05:59
Take On Helicopters,2011-10-27,19.99,13,319634,04:17
Sengoku,2011-09-15,9.99,28,116597,05:59
Dungeons 2,2015-04-24,29.99,36,126241,13:15
The Golf Club,2014-08-19,29.99,23,40327,33:47
Pride of Nations,2011-06-07,19.99,N/A,27703,17:15
Starpoint Gemini 2,2014-09-26,34.99,38,237929,10:40
Evochron Mercenary,2012-01-16,19.99,52,91700,08:14
Panzer Tactics HD,2014-05-22,9.99,36,26125,17:20
Basketball Pro Management 2015,2014-11-19,19.99,6,3682,05:25
Holy Potatoes! A Weapon Shop!,2015-07-13,14.99,43,116247,06:49
Train Valley,2015-09-16,9.99,84,25599,10:53
Star Hammer: The Vanguard Prophecy ,2015-06-04,14.99,59,7890,06:38
TransOcean 2: Rivals,2016-05-10,18.74,9,13851,15:13
Valhalla Hills,2015-12-02,29.99,31,23319,10:41
Gratuitous Tank Battles,2012-05-17,9.99,14,66452,01:34
Ashes of the Singularity,2016-03-31,39.99,31,87842,07:27
RIDE: Game,2015-03-27,39.99,34,37171,19:25
Pure Pool,2014-07-31,12.99,13,12098,04:15
Hatoful Boyfriend,2014-09-04,9.99,88,247572,03:44
Men of War: Assault Squad 2,2014-05-15,29.99,54,417646,48:44
Space Rangers HD: A War Apart,2013-10-17,14.99,90,145703,34:38
Job Simulator,2016-04-05,29.99,69,97135,03:15
FIM Speedway Grand Prix 15,2015-11-30,24.99,72,8942,18:46
Game Dev Tycoon,2013-08-29,9.99,93,1201741,12:55
Five Nights at Freddy's 3,2015-03-02,7.99,75,296490,04:30
The Solus Project,2016-06-07,19.99,54,59263,03:31
Car Mechanic Simulator 2015,2015-04-23,19.99,84,274924,21:10
Pacific Storm,2008-06-24,1.59,N/A,54529,02:03
SimplePlanes,2015-12-17,12.99,84,117299,14:53
X: Beyond the Frontier,2010-10-08,4.99,39,202511,05:09
Spintires,2014-06-12,29.99,66,777608,27:44
Long Live The Queen,2013-11-08,9.99,90,315952,05:14
Faces of War,2014-04-16,4.99,66,51022,09:04
Little King's Story,2016-08-05,24.99,26,1929,08:59
Train Fever,2014-09-04,29.99,25,147105,62:20
Tycoon City: New York,2008-03-12,9.99,5,23670,05:22
Light of Altair,2009-06-04,14.99,N/A,20689,06:29
Absolute Drift,2015-07-29,11.99,69,105902,02:45
Age of Mythology: Extended Edition,2014-05-08,29.99,56,906829,20:52
Rise of Venice,2013-09-27,24.99,15,66627,25:27
Rogue State,2015-10-16,12.99,45,14027,04:36
Battleplan: American Civil War,2014-07-04,9.99,20,39626,03:42
Sunset,2015-05-21,19.99,28,17709,03:03
Strike Suit Zero,2013-01-23,19.99,49,472877,04:01
Stronghold Crusader 2,2014-09-22,49.99,18,297893,22:49
Lethis - Path of Progress,2015-06-25,19.99,41,21215,15:30
Air Conflicts - Secret Wars,2011-09-30,7.99,18,77322,05:14
Lords of the Realm III,2015-12-03,4.99,N/A,13150,00:21
Guns of Icarus Online,2012-10-29,9.99,90,1272752,11:09
Farming Simulator 15,2014-10-30,12.49,78,635411,82:56
Skyward Collapse,2013-05-23,4.99,7,100116,03:01
Pro Cycling Manager 2016,2016-06-16,19.99,11,32262,58:21
Restaurant Empire II,2009-05-27,19.99,15,53828,25:22
Echelon: Wind Warriors,2014-08-08,3.99,N/A,6663,02:35
Imperium Romanum: Gold Edition,2008-11-25,9.99,54,139040,13:11
The Westport Independent,2016-01-21,9.99,17,5786,01:58
