ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Johnny Graves—The Unchosen One,2016-06-15,14.99,N/A,4559,00:07
Titans of Space 2.0,2016-05-23,7.99,93,5611,00:39
Galactineers,2016-03-25,9.99,N/A,1865,00:21
Dungeons & Robots,2016-02-29,8.99,19,1578,01:46
Monsters & Monocles,2016-08-16,14.99,72,2104,03:54
Strange Space,2015-12-22,1.99,N/A,533,00:00
Idle Civilization,2015-11-23,4.99,47,8767,36:31
DesertLand 2115,2015-10-30,4.99,N/A,799,00:24
Indie Game Battle,2015-10-29,9.99,15,88368,03:08
StoryMode - A Game About Crafting,2015-09-07,4.99,N/A,7715,00:16
The Falling Sun,2015-04-07,4.99,11,61367,03:50
TOTM,2015-02-03,7.99,N/A,2279,00:13
Fancy Skulls,2014-06-16,8.99,49,38924,04:04
Gang Beasts,2014-08-29,19.99,47,411159,05:49
Calibre 10 Racing Series,2014-03-26,9.99,12,16306,00:26
The Forest,2014-05-30,14.99,78,2228849,17:35
Stellar Interface,2016-09-09,7.19,N/A,514,00:00
Starr Mazer: DSP,2016-08-26,9.99,75,1578,00:23
Thirst,2016-08-10,2.99,N/A,514,00:05
Zero G Arena,2016-07-28,Free,88,45938,00:31
Moon Colonization Project,2016-07-09,2.99,N/A,7013,04:11
CapRiders: Euro Soccer,2016-06-18,6.99,N/A,533,02:16
PlanetFate,2016-06-06,5.99,N/A,1403,00:20
The HinterLands,2016-05-27,2.99,N/A,1027,00:16
Strayed,2016-05-07,6.99,2,91524,00:16
Ember Strike,2016-05-26,Free,52,73816,01:45
StarFringe: Adversus,2016-04-05,6.99,N/A,10520,18:31
Pandora`s room,2016-03-29,8.99,N/A,1027,00:00
Wayward,2016-04-22,7.99,72,8416,09:31
Shadow Of Nebula,2016-02-29,4.99,N/A,1066,10:47
Islet Online,2016-02-01,24.99,59,5085,16:04
Divergence: Online,2016-01-06,29.99,28,1052,06:52
Blackfaun,2015-12-03,14.99,N/A,533,00:00
Galaxy Admirals,2015-11-06,1.99,81,24722,03:55
Sky Break,2015-10-22,14.99,59,3331,03:03
Uncraft World,2015-09-25,9.99,78,8591,03:10
FLYING TIGERS: SHADOWS OVER CHINA,2015-08-18,15.99,47,45412,03:27
No Turning Back: The Pixel Art Action-Adventure Roguelike,2016-01-15,4.99,36,12799,03:10
DungeonRift,2015-07-01,9.99,N/A,11923,00:59
Dungeoncraft,2015-06-05,9.99,N/A,2279,00:26
Whitewash,2015-04-30,14.99,N/A,2104,00:00
Pixel: ru,2015-03-06,9.99,N/A,1227,10:39
AdVenture Communist,2016-08-23,Free,31,171828,04:30
Malazard: The Master of Magic,2016-08-08,7.99,N/A,1027,00:00
DATH,2016-07-15,5.99,N/A,514,01:19
Orbital Strike: Arena,2016-07-12,14.99,N/A,701,01:33
Ahnayro: The Dream World,2016-06-10,5.99,N/A,1066,00:47
