ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Air Brawl,2015-11-05,Free,39,94856,01:21
Catch Me,2016-09-05,4.74,88,10345,03:09
The Age of Decadence,2015-10-14,29.99,61,41905,15:39
Flesh Eaters,2016-05-03,1.99,47,242663,02:32
Siralim 2,2016-08-12,14.99,93,5961,26:05
Pool Nation FX,2015-12-07,Free,23,438862,01:23
Neon Hardcorps,2016-05-30,0.99,13,65575,03:23
Satellite Reign,2015-08-27,29.99,52,174984,08:41
Legends of Eisenwald,2015-07-02,19.99,45,59263,19:35
Kidnapped,2015-08-04,2.99,17,82056,04:12
Guardians of Victoria,2016-04-29,1.99,1,65575,04:59
The Four Kings Casino and Slots,2015-06-01,Free,34,309991,04:59
Bell Ringer,2016-03-18,6.99,1,129397,03:58
Invasion: Brain Craving,2016-06-22,0.99,7,97135,03:34
Underrail,2015-12-18,14.99,75,45938,18:37
RONIN,2015-06-30,12.99,30,108006,04:35
Knight Squad,2015-11-16,14.99,66,83459,02:42
Run Rabbit Run,2016-03-31,3.99,59,13150,02:44
Kick Ass Commandos,2015-11-06,7.99,96,11046,03:17
"Warhammer 40,000: Regicide",2015-09-08,14.99,43,89245,04:34
The Magic Circle,2015-07-09,19.99,84,90823,03:14
Emporea,2016-06-08,Free,19,129221,06:39
Xenonauts,2014-06-16,24.99,78,210226,27:25
Windlands,2016-04-05,19.99,56,21917,02:45
Tadpole Treble,2016-09-02,9.99,100,3156,06:54
Train Valley,2015-09-16,9.99,84,25599,10:53
Last Hope - Tower Defense,2016-04-13,8.99,61,10169,15:05
Dead Effect 2,2016-05-06,11.99,31,20689,06:44
Lup,2016-04-01,0.99,13,106428,03:11
Perfect Golf,2016-05-03,34.99,26,17533,38:10
Dex,2015-05-07,19.99,59,38048,06:49
MASSIVE CHALICE,2015-06-01,19.99,32,142547,07:34
The Adventures of Tree,2016-03-01,4.99,36,45236,06:58
Forge Quest,2015-05-29,14.99,64,37697,07:11
Pro Gamer Manager,2016-04-28,12.99,17,30333,07:59
Carmageddon: Reincarnation,2015-05-21,29.99,43,98889,08:55
Monstrum ,2015-05-20,17.99,78,80128,05:17
Frozen State,2016-08-05,11.99,47,18936,06:24
Chaos Reborn,2015-10-26,19.99,47,50321,14:56
The Bug Butcher,2016-01-19,7.99,90,30157,02:42
Steredenn,2015-10-01,12.99,69,94681,02:57
Hybrid Animals,2016-08-29,6.99,41,8591,02:24
Ace of Words,2016-05-13,4.99,26,124137,05:49
Over 9000 Zombies!,2015-02-25,0.99,59,55756,02:24
Strayed,2016-05-07,6.99,2,91524,00:16
Toy Soldiers: Complete,2016-02-17,10.04,41,54178,05:48
Melody's Escape,2016-05-20,9.99,90,71887,04:57
Captain Forever Remix,2016-06-03,14.99,88,18936,08:48
Ratz Instagib 2.0,2016-07-27,8.99,66,68556,04:26
Cosmonautica,2015-07-31,2.99,19,39801,08:38
Versus: Battle of the Gladiator,2016-08-26,14.99,N/A,2630,02:39
Home Improvisation,2016-07-28,9.99,38,9643,02:50
Narcissu 1st & 2nd,2015-04-24,Free,88,318758,01:33
Heart&Slash,2016-08-09,14.99,61,4909,05:29
StarForge,2014-09-22,9.99,0,306309,04:39
Secrets of Grindea,2015-07-13,14.99,96,102220,12:17
Backstage Pass,2016-08-22,29.99,78,4383,24:09
Crystal Rift,2016-03-30,9.99,25,5961,01:42
Caves of Qud,2015-07-15,9.99,98,13501,20:38
Fallen: A2P Protocol,2015-08-14,19.99,7,18059,03:26
The Black Watchmen,2015-08-27,14.99,72,11221,09:41
Gunscape,2016-03-01,Free,26,310692,01:29
In Verbis Virtus,2015-04-03,19.99,59,57334,04:34
Kelvin and the Infamous Machine,2016-07-21,14.99,N/A,3156,02:53
Shadowrun Chronicles,2015-04-28,19.99,28,163061,12:02
Data Hacker: Reboot,2015-04-17,4.99,16,102220,03:48
Boss Monster,2016-04-28,4.99,20,13150,03:38
NeuroVoider,2016-08-31,13.99,78,5435,04:34
Nightside,2015-08-06,13.99,18,14377,03:42
Dovetail Games Fishing,2015-11-02,19.99,28,49795,15:53
Putrefaction,2015-08-07,4.99,31,34190,03:15
7 Mages,2016-06-23,13.99,N/A,3507,06:51
Infectonator : Survivors,2016-08-08,11.99,38,24547,07:35
Dream,2015-07-31,16.99,23,78024,02:54
The Political Machine 2016,2016-02-04,9.99,43,34366,05:03
Virtual Battlemap,2016-07-20,29.99,N/A,1052,03:18
Kingdom Wars 2: Battles,2016-03-04,18.99,39,44535,05:47
Edge of Space,2015-09-17,14.99,12,231617,06:14
Wrack,2014-09-30,9.99,39,39100,02:07
Executive Assault,2015-07-17,12.99,78,22267,06:35
Princess.Loot.Pixel.Again,2016-04-15,4.99,64,93804,03:29
"Invisible, Inc.",2015-05-12,19.99,88,205842,10:48
Valhalla Hills,2015-12-02,29.99,31,23319,10:41
Gunnheim,2015-10-16,9.99,8,32437,17:39
Empires Of Creation,2015-11-20,4.99,N/A,6663,03:46
Ground Breakers,2016-06-15,9.99,N/A,4033,07:43
Nevermind,2015-09-29,19.99,36,11046,03:58
Hero Defense - Haunted Island,2016-05-31,14.99,49,20339,05:43
Vengeance Road,2016-06-17,1.99,N/A,78024,03:06
The Tribe,2016-08-26,4.99,75,8767,00:27
SanctuaryRPG: Black Edition,2015-02-13,7.99,88,124663,06:05
Crea,2016-06-09,14.99,54,37346,11:33
Color Syndrome,2016-08-01,2.09,N/A,1403,02:04
Alpha Runner,2015-09-02,1.99,61,28404,03:44
Steamroll,2016-02-19,12.99,N/A,1865,02:28
Trouble In The Manor,2015-11-17,0.99,31,18235,02:46
Clandestine,2015-11-05,19.99,45,9117,04:24
Rogue Stormers,2016-04-21,13.99,39,20339,04:45
Eon Altar,2016-06-22,6.99,81,11747,03:07
Grind Zones,2016-07-19,4.99,N/A,5961,03:32
The Sandbox,2015-06-29,4.99,23,23144,07:31
The Hive,2016-08-25,19.99,47,13676,03:02
StarDrive 2,2015-04-09,29.99,22,64172,45:00
Assault Android Cactus,2015-09-23,14.99,96,26125,06:27
Overfall,2016-05-17,14.99,75,11397,11:10
Ruzar - The Life Stone,2015-12-02,12.99,49,2279,10:56
Space Food Truck,2016-03-25,13.39,43,4383,07:28
Interplanetary,2015-05-12,14.99,59,97135,04:38
DubWars,2016-07-19,9.99,54,3331,03:27
Block Story,2015-12-10,2.99,16,22443,05:30
Rise: Battle Lines,2015-11-17,5.99,66,2805,04:40
Burgers,2015-09-03,2.99,6,100642,04:54
Game Corp DX,2015-10-02,2.99,72,59088,04:21
Sunrider Academy,2015-04-15,9.99,66,47340,12:05
Super Chibi Knight,2015-06-24,4.99,72,11572,05:37
Titans of Space 2.0,2016-05-23,7.99,93,5611,00:39
Soul Axiom,2016-02-29,19.99,45,35593,06:12
RPG Tycoon,2016-02-12,9.99,26,26826,02:48
European Ship Simulator,2015-02-19,19.99,7,36470,03:26
Galacide,2015-07-28,9.99,84,12624,04:13
A.I. Invasion,2015-09-30,9.99,N/A,10695,04:02
Dreaming Sarah,2015-03-12,5.99,84,70309,02:44
Trackday Manager,2016-03-31,11.99,30,5260,12:39
Malebolgia,2015-05-06,12.99,31,15955,02:21
The Mims Beginning,2016-05-18,19.99,59,4734,05:47
bit Dungeon+,2016-03-22,3.99,8,16306,00:58
ROCKETSROCKETSROCKETS,2015-05-01,6.99,56,75218,02:42
Ancients of Fasaria: Chess Club,2015-11-04,9.99,N/A,13325,03:13
TRON RUN/r,2016-02-16,19.99,64,10695,02:52
Sixtieth Kilometer,2016-08-25,3.99,N/A,11221,05:05
Spellcrafter,2015-05-04,9.99,N/A,5435,02:59
The Flame in the Flood,2016-02-24,19.99,56,41905,08:28
UNLOVED,2015-08-21,14.99,69,4208,04:00
Wild Season,2015-12-07,16.99,13,12975,15:26
Mars 2030,2016-03-11,4.99,N/A,1066,00:24
Brigador,2016-06-02,19.99,90,4559,05:11
The Storm Guard: Darkness is Coming,2016-08-25,19.99,61,2104,07:44
Burstfire,2015-09-24,Free,9,69608,04:37
Shiness: The Lightning Kingdom,2016-09-10,25.49,N/A,1599,06:14
BiT Evolution,2015-06-09,9.99,36,15429,03:13
Legends of Callasia,2016-06-10,Free,47,41905,02:31
Cashtronauts,2016-08-31,7.99,N/A,8591,03:54
Angels Fall First,2015-10-01,17.99,47,28579,03:24
JumpJet Rex,2015-04-21,9.99,93,80478,01:06
Bierzerkers,2016-02-25,Free,8,195848,00:43
Wickland,2015-02-06,0.99,18,108883,02:13
CroNix,2015-07-17,Free,7,255637,00:40
Cosmos Crash VR,2016-09-01,9.99,N/A,1227,00:39
Gabe Newell Simulator,2015-12-14,3,8,12799,01:38
La Peri,2016-08-19,9.99,61,2981,00:34
Hyper Box,2016-03-16,2.99,N/A,5085,00:15
Gender Bender DNA Twister Extreme,2015-11-23,24.99,36,5435,06:12
Warlocks vs Shadows,2015-08-19,13.99,25,27527,03:18
Hegemony Rome: The Rise of Caesar,2014-05-15,19.99,25,52074,10:00
Onikira: Demon Killer,2015-08-27,13.99,9,38048,02:03
GameGuru,2015-05-19,19.99,49,107655,10:35
March of War: Face Off,2015-07-16,Free,45,115195,04:04
Krai Mira,2016-07-11,9.99,38,15079,03:53
Stars,2016-08-30,5.99,N/A,1599,00:05
Boogeyman,2015-11-02,7.99,69,12799,01:57
Duskers,2016-05-18,19.99,84,26300,12:07
Major\Minor,2016-05-01,9.99,47,5786,03:33
ACE Academy,2016-08-22,24.99,98,4734,10:39
Zombie Party,2016-06-10,9.99,81,11923,02:36
Time Machine VR,2016-05-19,29.99,28,7539,01:21
The Masterplan,2015-06-04,19.99,30,78199,03:42
Down To One,2016-01-07,0.99,6,98889,01:29
GASP,2016-01-19,Free,0,162710,00:22
Rock 'N' Roll Defense,2016-08-10,1.99,32,18410,03:26
0RBITALIS,2015-05-28,9.99,38,30859,01:42
Vision of Aurora Borealis,2016-08-22,3.99,N/A,1332,00:05
Krautscape,2016-02-24,7.99,43,29982,00:51
Grass Simulator,2015-04-01,4.99,10,21741,01:34
