ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Super Mega Baseball: Extra Innings,2015-08-21,19.99,75,14027,21:20
Motorbike,2015-01-19,4.99,N/A,3507,04:23
Martial Arts: Capoeira,2014-06-12,4.99,N/A,5961,00:11
Pro Rugby Manager 2015,2014-09-18,9.99,1,13325,32:25
VeeR Pong,2016-07-19,9.99,N/A,514,00:36
GROOVY,2016-05-27,7.99,N/A,8767,02:42
Bowslinger,2016-04-05,9.99,N/A,1929,00:36
Automobilista,2016-08-24,39.99,81,20689,23:16
Pro Basketball Manager 2016,2016-01-14,19.99,13,2455,09:02
Actua Golf 3,2015-08-31,4.99,N/A,877,00:00
Soccer Pinball Thrills,2015-06-26,3.99,N/A,4909,00:01
Sbastien Loeb Rally EVO,2016-01-29,49.99,15,10871,08:55
Quantum Rush Champions,2014-12-04,9.99,18,33314,04:37
NBA 2K15,2014-10-06,59.99,39,257566,129:45
Racing Manager 2014,2013-12-06,9.99,0,15780,05:17
3D Ultra Minigolf Adventures Deluxe,2009-07-23,9.99,N/A,12799,03:32
Galaxy Golf,2016-08-24,4.99,N/A,701,00:14
Octoshield VR,2016-06-14,4.99,N/A,526,00:17
Sweet Escape VR,2016-04-20,19.99,N/A,1865,01:59
World of Fishing,2016-09-06,Free,9,33840,01:09
Elysium: Blood Games,2016-01-05,2.49,36,6312,03:06
NBA 2K16,2015-09-29,59.99,9,409230,97:09
Assault CorpsII,2015-07-15,2.99,N/A,2981,00:52
3D Mini Golf,2015-05-29,9.99,N/A,5961,00:28
Volo Airsport,2014-12-04,12.99,47,7013,01:05
G-Ball,2014-05-28,0.99,1,15079,00:23
Beast Boxing Turbo,2013-11-19,4.99,78,34015,01:22
Cricket Revolution,2009-10-28,2.99,17,24021,23:21
Footbrawl Playground,2016-09-01,5.99,N/A,514,00:16
VRMultigames,2016-07-25,Free,N/A,22793,00:20
MiniGolf Mania,2016-03-25,2.99,N/A,2805,00:24
Ultimate Rock Crawler,2016-01-25,4.99,N/A,1403,00:25
Lighthockey,2015-10-30,1.99,N/A,1066,00:00
Formula Fusion,2015-08-03,19.99,52,4208,02:25
F-1 drive,2015-05-21,0.99,N/A,2630,00:27
SuperBike TT,2015-02-25,12.99,N/A,1027,00:04
SPORT1 Live : Duel,2014-05-30,4.99,N/A,2131,00:22
Starters Orders 6,2016-06-29,34.99,N/A,1753,19:40
Beach Ball Valley,2016-04-05,2.99,N/A,1541,02:23
Premium Pool,2016-03-14,Free,9,200056,00:55
BADBLOOD,2015-11-13,7.99,N/A,1332,00:39
Star Balls,2015-08-18,4.99,N/A,1332,00:41
Axis Football 2015,2015-07-15,14.99,34,83985,05:38
3 Coins At School,2016-04-20,4.99,N/A,2455,06:58
Gyrodisc Super League,2016-03-04,12.99,N/A,514,00:14
MotoGPâ„¢15 Compact,2015-12-10,9.99,N/A,3857,04:12
Pumped BMX +,2015-09-18,9.99,64,12098,07:47
Cricket Captain 2015,2015-07-08,6.49,N/A,8767,78:22
Homebrew - Vehicle Sandbox,2014-11-14,17.99,32,35593,09:16
Colin McRae Rally,2014-07-30,6.99,5,197777,02:52
Pool Nation,2013-10-18,9.99,78,221272,06:40
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,9.99,45,259319,01:01
Fancy Skiing VR,2016-08-09,9.99,43,2981,03:11
Smoots World Cup Tennis,2016-06-01,14.99,N/A,514,00:00
Soccertron,2015-03-12,4.99,N/A,11572,03:17
STARWHAL,2014-09-29,11.99,78,80829,02:20
Fast & Furious: Showdown,2013-05-21,29.99,3,20339,03:50
Metal Drift,2009-10-22,9.99,25,45061,03:05
Mind Spheres,2016-07-08,1.99,N/A,877,01:36
Global Soccer Manager,2016-06-14,7.99,N/A,533,03:41
BASEBALL STARS 2,2016-04-27,7.99,N/A,23144,00:23
#SelfieTennis,2016-04-01,19.99,38,4734,01:04
Cyber Team Manager,2016-01-18,0.79,18,5961,02:46
Slipstream 5000,2015-10-09,5.99,30,81530,03:49
R.B.I. Baseball 15,2015-04-30,19.99,7,6487,10:15
MXGP2 - The Official Motocross Videogame Compact,2016-09-08,9.99,N/A,514,00:00
Pixel Cup Soccer 17,2016-08-04,9.99,N/A,701,02:01
CapRiders: Euro Soccer,2016-06-18,6.99,N/A,533,02:16
YamaYama,2016-03-31,6.99,N/A,514,01:52
Pro Evolution Soccer 2016 myClub,2016-02-03,Free,15,1565560,13:31
MiniBikers,2015-11-05,5.99,N/A,16131,04:29
Super Slam Dunk Touchdown,2015-12-16,15,N/A,4033,01:05
Soccer Rage,2015-06-02,9.99,75,12449,00:20
Corona MotorSport,2015-03-13,9.99,N/A,5085,00:07
The Howler,2016-04-21,0.5,52,331732,03:07
The Thrill of the Fight,2016-07-01,9.99,66,6663,00:57
Periodonica,2016-05-06,24.99,N/A,514,00:00
Super Night Riders,2016-02-22,7.99,N/A,701,00:00
LowcoBall,2015-12-09,0.99,30,11923,03:15
MiniDrivers,2015-08-31,5.99,12,23670,04:07
Hot Pinball Thrills,2015-06-26,3.99,N/A,11046,01:15
TableTop Cricket,2015-02-25,9.99,N/A,1227,00:43
MotorSport Revolution,2015-01-15,14.99,1,6838,00:12
MX vs. ATV Supercross Encore,2015-10-27,29.99,9,12799,65:35
Depth Hunter 2: Deep Dive,2014-08-20,14.99,39,154820,04:18
GTR 2 - FIA GT Racing Game,2012-12-12,7.99,90,89070,01:04
Safety First,2016-09-08,2,N/A,533,00:00
Aqua Moto Racing Utopia,2016-07-13,19.99,N/A,514,00:02
HoloBall,2016-04-25,9.99,90,17884,01:12
Football Club Simulator - FCS,2016-03-04,19.99,12,22443,04:08
MadOut Open City,2016-03-29,6.39,12,4383,01:20
Rugby League Live 3,2015-09-29,49.99,45,3156,43:26
Jet Racing Extreme,2015-07-14,3.99,34,123961,02:31
Copa Petrobras de Marcas,2015-04-08,Free,17,655575,00:51
Rugby Union Team Manager 2015,2014-12-03,19.99,20,9293,16:47
Riptide GP2,2014-03-07,6.99,75,34366,03:11
Blood Bowl: Chaos Edition,2012-10-11,7.49,56,261073,36:34
Galactic Bowling,2008-10-21,19.99,N/A,3682,02:14
Limberjack,2016-09-01,Free,N/A,5786,00:08
Football VR,2016-07-14,1.99,N/A,1541,00:00
Zero-G VR,2016-06-16,4.99,43,5961,00:08
Robot Arena III,2016-06-20,19.99,4,2455,03:14
Pitstop Challenge,2016-02-01,9.99,N/A,533,00:11
Bocce Revolution,2015-10-23,14.99,N/A,701,00:58
Soccer Legends,2015-08-05,Free,N/A,514,00:00
Teddy Floppy Ear - The Race,2015-05-22,1.09,39,65575,05:24
rFactor,2015-03-02,24.99,64,41379,11:43
Gridiron Solitaire,2014-01-21,7.99,47,1929,47:15
Next Car Game: Wreckfest,2014-01-14,39.99,36,290880,05:51
