ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Dev Guy,2015-05-20,Free,52,238104,00:33
Fork Parker's Holiday Profit Hike,2014-12-18,Free,56,290003,00:32
Transformice,2015-01-30,Free,56,1834523,12:59
Battle Islands,2014-08-06,Free,47,461305,12:14
Depression Quest,2014-08-11,Free,15,259845,01:06
Dogs of War Online - Beta,2014-02-04,Free,25,191816,03:32
Dungeons & Dragons Online,2012-06-25,Free,43,651016,19:12
AdVenture Communist,2016-08-23,Free,31,171828,04:30
Jacob,2016-07-18,Free,N/A,16306,00:10
Eclipse --- Defending the motherland,2016-05-26,Free,N/A,41028,00:23
Garlock Online,2016-05-30,Free,0,36820,00:11
Jesus Christ RPG,2016-03-18,Free,49,88719,00:30
Trinium Wars,2016-03-02,Free,15,198829,07:37
Emily is Away,2015-11-20,Free,75,1281694,00:59
Crusaders of the Lost Idols,2015-10-13,Free,61,287724,75:37
Fishing Planet,2015-08-11,Free,49,1622193,08:47
Bitweb,2015-06-03,Free,3,52074,00:05
Copa Petrobras de Marcas,2015-04-08,Free,17,655575,00:51
TDP4:Team Battle,2015-03-12,Free,4,193744,01:20
Sunrider: Mask of Arcadius,2014-07-09,Free,88,500053,05:59
My Lands,2014-09-16,Free,69,273697,22:02
theHunter,2014-06-03,Free,5,3829651,05:50
Kingdom Wars,2013-04-01,Free,28,483221,09:20
Piñata,2016-09-01,Free,N/A,3857,00:01
UNCORPOREAL - Fluffy!,2016-07-20,Free,N/A,18235,00:08
Insanity Clicker,2016-06-07,Free,24,291932,22:02
BattleSouls,2016-05-12,Free,25,100467,00:33
Tree of Savior (English Ver.),2016-03-28,Free,18,1458080,50:32
Pro Evolution Soccer 2016 myClub,2016-02-03,Free,15,1565560,13:31
LoveBeat,2016-01-13,Free,34,116773,09:40
Gladiators Online: Death Before Dishonor,2015-11-04,Free,6,132553,01:52
Heroes of Scene,2015-08-26,Free,12,233545,01:05
Bierzerkers,2016-02-25,Free,8,195848,00:43
Shadow Hunter,2015-04-20,Free,15,54003,00:37
Boring Man - Online Tactical Stickman Combat,2015-02-20,Free,59,696252,02:47
Hazard Ops,2014-10-08,Free,34,451661,04:51
Famaze,2014-05-05,Free,52,143949,00:36
Villagers and Heroes,2014-04-17,Free,15,640145,08:36
Marvel Puzzle Quest,2013-12-05,Free,31,348740,76:27
Gear Up,2015-01-28,Free,39,1892734,02:38
You Have 10 Seconds,2016-08-02,Free,78,152891,00:32
SWARMRIDERS,2016-06-15,Free,75,36294,00:06
The Average Everyday Adventures of Samantha Browne,2016-04-18,Free,41,64172,00:28
Elemental Heroes,2016-03-03,Free,16,59964,02:43
Simply Chess,2015-09-11,Free,32,238455,02:05
Codename CURE,2015-07-17,Free,56,1258199,02:11
Victory Command,2015-05-19,Free,36,204440,01:06
Kingdoms CCG,2015-01-22,Free,14,78900,08:21
Floating Point,2014-06-06,Free,93,816006,00:56
Anarchy Arcade,2014-09-03,Free,31,582285,01:38
Soldier Front 2,2013-07-03,Free,54,528633,15:30
Pox Nora,2014-10-15,Free,36,380651,08:59
Astro Lords: Oort Cloud,2016-01-15,Free,N/A,58737,00:05
Might & Magic Heroes Online,2015-11-24,Free,5,210927,05:56
Golden Rush,2015-09-23,Free,7,137988,07:46
Relic Hunters Zero,2015-08-18,Free,90,782868,02:20
Red Crucible: Firestorm,2015-12-22,Free,17,1609218,02:39
AdVenture Capitalist,2015-03-30,Free,78,3662207,38:35
Karos,2014-12-24,Free,11,318758,05:57
The Way of Life,2016-05-31,Free,43,1022199,00:22
Skara - The Blade Remains,2014-10-27,Free,31,107831,02:18
Toribash,2014-05-16,Free,72,2323355,04:57
F.E.A.R. Online,2014-10-21,Free,6,960832,03:29
Wartune,2016-08-15,Free,N/A,7189,00:21
RoShamBo Arena,2016-07-14,Free,23,140443,01:01
The NADI Project,2016-06-01,Free,24,43308,00:22
Antenna,2016-04-07,Free,36,153944,00:26
World of Fishing,2016-09-06,Free,9,33840,01:09
Destination Sol,2015-02-05,Free,52,376267,00:51
sZone-Online,2015-12-29,Free,5,1627102,03:26
Guns and Robots,2014-08-04,Free,26,1098469,02:19
C9,2012-09-13,Free,41,549322,10:43
Battleline: Steel Warfare,2016-08-25,Free,31,21040,01:13
Emerland Solitaire: Endless Journey,2016-07-17,Free,N/A,12799,04:34
NEKOPALIVE,2016-05-31,Free,88,98889,00:13
The SKIES,2016-04-16,Free,11,671355,01:59
Clash of the Monsters,2016-04-13,Free,9,65049,00:18
Full Tilt Poker,2016-01-26,Free,5,60315,01:04
Legend of Dungeon: Masters,2015-11-30,Free,22,102395,00:59
War of Beach,2015-10-15,Free,20,100467,07:51
Silver Creek Falls - Chapter 1,2015-08-12,Free,78,88719,00:37
Subspace Continuum,2015-07-03,Free,66,96434,02:53
Total War Battles: KINGDOM,2015-04-09,Free,10,518989,09:05
Mandagon,2016-08-03,Free,93,197602,00:37
LuckCatchers,2016-06-15,Free,11,90823,10:23
Skyreach,2016-04-29,Free,9,72238,00:06
Irrational Exuberance,2016-04-05,Free,96,66627,00:20
Lucent Heart F2P MMO,2016-02-11,Free,10,125539,01:42
Apotheon Arena,2015-12-08,Free,47,248975,00:43
Mortal Online,2015-08-31,Free,9,528984,06:06
Regimental Chess,2015-04-29,Free,8,71010,00:22
Rustbucket Rumble,2015-05-04,Free,13,218116,00:43
CubeGun,2014-05-21,Free,36,93453,01:24
Dungeon Party,2013-03-13,Free,5,310692,00:20
MSI Electric City,2016-08-09,Free,N/A,18936,00:15
Hero Zero,2016-07-05,Free,36,210752,10:54
Riders of Icarus,2016-07-06,Free,20,1275557,13:04
realities,2016-04-05,Free,56,113441,00:22
Metal Assault,2016-03-18,Free,16,76972,02:24
Granado Espada,2016-01-07,Free,6,68030,06:30
Krosmaster Arena,2015-11-09,Free,22,128695,02:27
