ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Epic Space: Online,2014-05-08,14.99,1,2279,06:00
Panzar,2013-11-25,Free,24,1034998,09:52
C9,2012-09-13,Free,41,549322,10:43
Heroes of Shadow Guard,2016-08-03,Free,N/A,11046,00:42
UFO Online,2014-10-10,Free,N/A,1599,03:52
Infinity Wars - Animated Trading Card Game,2014-09-05,Free,56,572992,14:32
Age of Conan: Unchained - EU version,2013-02-22,Free,36,402743,15:58
Thanatos,2016-08-24,Free,5,21391,01:35
Dogfight Elite,2016-06-11,19.99,N/A,514,00:03
Techwars Online,2016-03-17,9.99,28,10871,03:30
Knight Online,2016-01-25,Free,7,1201917,54:59
Aion,2015-10-29,Free,38,187608,17:29
Trove,2015-07-09,Free,47,6389707,19:18
FACTIONS: Origins of Malu,2015-03-23,Free,N/A,1599,00:29
Hero Zero,2016-07-05,Free,36,210752,10:54
Allods Online RU,2016-01-26,Free,20,94505,08:49
Might & Magic Heroes Online,2015-11-24,Free,5,210927,05:56
Badland Bandits,2015-07-16,Free,12,47516,00:52
The Elder Scrolls Online: Tamriel Unlimited,2015-03-17,29.99,43,631203,58:56
Puzzle Pirates,2011-08-31,Free,52,352597,16:20
Dropship Down,2016-07-21,4.99,N/A,1227,00:14
Hero Battle,2016-04-28,9.99,45,8065,03:03
Tactical Craft Online,2016-02-12,Free,10,217765,01:41
LoveBeat,2016-01-13,Free,34,116773,09:40
Fishing Planet,2015-08-11,Free,49,1622193,08:47
Survival: Postapocalypse Now,2015-04-16,4.99,17,126241,08:24
Colonies Online,2014-05-01,14.99,7,12624,02:18
War of the Immortals,2012-08-30,Free,28,386437,10:28
Dig 4 Destruction,2016-08-14,11.99,93,1929,00:52
Forge of Gods (RPG),2016-05-06,Free,49,149911,12:32
Atom Universe,2016-03-04,Free,10,71186,00:18
Drift Streets Japan,2015-12-21,4.99,41,118877,08:44
Metal Reaper Online,2015-09-17,Free,30,185328,03:10
"Once Bitten, Twice Dead!",2015-07-07,4.99,0,22267,03:56
Transformice,2015-01-30,Free,56,1834523,12:59
Royal Quest,2014-08-06,Free,26,708175,11:40
NEStalgia,2014-04-15,14.99,49,25248,22:14
Dragon Nest,2012-12-18,Free,59,540906,28:13
Hide & Hold Out - H2o,2016-04-09,17.99,30,10695,17:30
Trinium Wars,2016-03-02,Free,15,198829,07:37
Gladiators Online: Death Before Dishonor,2015-11-04,Free,6,132553,01:52
Musclecar Online,2015-02-12,5.99,N/A,12449,00:53
